gene	p_values
ENSG00000000003.14	0.0290526315789474
ENSG00000000419.12	0.821578947368421
ENSG00000000457.13	0.812
ENSG00000000460.16	0
ENSG00000000938.12	0.264105263157895
ENSG00000000971.15	0.805684210526316
ENSG00000001036.13	0.100315789473684
ENSG00000001084.10	0.816736842105263
ENSG00000001167.14	0.126736842105263
ENSG00000001460.17	0.0854736842105263
ENSG00000001461.16	0.0429473684210526
ENSG00000001497.16	0.807578947368421
ENSG00000001561.6	0.124210526315789
ENSG00000001617.11	0.0327368421052632
ENSG00000001629.9	0.813368421052632
ENSG00000001630.15	0.0395789473684211
ENSG00000001631.15	0.0982105263157895
ENSG00000002016.17	0.404631578947368
ENSG00000002330.13	0.197052631578947
ENSG00000002549.12	0.806315789473684
ENSG00000002586.18	0.0476842105263158
ENSG00000002587.9	0.807263157894737
ENSG00000002745.12	0.814526315789474
ENSG00000002822.15	0.810736842105263
ENSG00000002834.17	0.218736842105263
ENSG00000002919.14	0.775157894736842
ENSG00000002933.7	0.536526315789474
ENSG00000003056.7	0.106526315789474
ENSG00000003096.14	0.110947368421053
ENSG00000003137.8	0.816631578947368
ENSG00000003147.17	0.0264210526315789
ENSG00000003249.13	0.186736842105263
ENSG00000003393.14	0.747473684210526
ENSG00000003400.14	0.806736842105263
ENSG00000003402.19	0.826421052631579
ENSG00000003436.15	0.0393684210526316
ENSG00000003509.15	0.816736842105263
ENSG00000003756.16	0.79978947368421
ENSG00000003987.13	0.811368421052632
ENSG00000003989.17	0.0512631578947368
ENSG00000004059.10	0.745263157894737
ENSG00000004139.13	0.419894736842105
ENSG00000004142.11	0.583684210526316
ENSG00000004399.12	0.822631578947368
ENSG00000004455.16	0.776736842105263
ENSG00000004468.12	0.461684210526316
ENSG00000004478.7	0.811368421052632
ENSG00000004487.15	0.808947368421053
ENSG00000004534.14	0.759263157894737
ENSG00000004660.14	0.561368421052632
ENSG00000004700.15	0.0742105263157895
ENSG00000004766.15	0.581789473684211
ENSG00000004776.12	0.822631578947368
ENSG00000004777.18	0.0773684210526316
ENSG00000004779.9	0.821263157894737
ENSG00000004799.7	0.214
ENSG00000004838.13	0.795473684210526
ENSG00000004864.13	0.812947368421053
ENSG00000004866.20	0.803052631578947
ENSG00000004897.11	0.0789473684210526
ENSG00000004961.14	0.809894736842105
ENSG00000004975.11	0.794421052631579
ENSG00000005007.12	0.808526315789474
ENSG00000005020.12	0.716631578947368
ENSG00000005022.5	0.802315789473684
ENSG00000005059.15	0.817578947368421
ENSG00000005075.15	0.0953684210526316
ENSG00000005100.12	0.105789473684211
ENSG00000005102.12	0.00968421052631579
ENSG00000005108.15	0.702
ENSG00000005156.11	0.367684210526316
ENSG00000005175.9	0.0521052631578947
ENSG00000005187.11	0.0123157894736842
ENSG00000005189.19	0.0181052631578947
ENSG00000005194.14	0.800315789473684
ENSG00000005206.16	0.00221052631578947
ENSG00000005238.19	0.0224210526315789
ENSG00000005243.9	0.347263157894737
ENSG00000005249.12	0.0851578947368421
ENSG00000005302.17	0.78178947368421
ENSG00000005339.14	0.799368421052632
ENSG00000005379.15	0.328210526315789
ENSG00000005381.7	0.808842105263158
ENSG00000005436.13	0.000315789473684211
ENSG00000005448.16	0.827894736842105
ENSG00000005469.11	0.82821052631579
ENSG00000005471.15	0.00694736842105263
ENSG00000005483.20	0.767052631578947
ENSG00000005486.16	0.356842105263158
ENSG00000005513.9	0.0250526315789474
ENSG00000005700.14	0.801578947368421
ENSG00000005801.16	0.492105263157895
ENSG00000005810.17	0.303368421052632
ENSG00000005812.10	0.00852631578947368
ENSG00000005844.17	0.823157894736842
ENSG00000005882.11	0.173789473684211
ENSG00000005884.17	0.817684210526316
ENSG00000005889.15	0.732526315789474
ENSG00000005893.15	0.0270526315789474
ENSG00000005961.17	0.817578947368421
ENSG00000006007.11	0.826526315789474
ENSG00000006015.17	0.812315789473684
ENSG00000006016.10	0.196105263157895
ENSG00000006025.11	0.0543157894736842
ENSG00000006042.11	0.142210526315789
ENSG00000006047.12	0.0287368421052632
ENSG00000006062.14	0.365578947368421
ENSG00000006071.12	0.04
ENSG00000006118.14	0.815368421052632
ENSG00000006125.17	0.0203157894736842
ENSG00000006128.11	0.208526315789474
